"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AWJ11_01475",14.5365254605811,-0.94592992297305,0.519636630569993,-1.82036805591525,0.0687029736971371,0.0878208506534959
"AWJ11_02675",160.696011199109,-0.31531660587897,0.173475508857316,-1.81764335470731,0.0691186606817424,0.0883132026547296
"AWJ11_12055",334.25921641485,-0.2331800651862,0.128346477627936,-1.81680143854174,0.069247522485241,0.0884388040919185
"AWJ11_01935",240.113779559374,0.24526938968048,0.135081878239794,1.81570905643675,0.0694150140864092,0.0886136086308197
"AWJ11_01915",13.1716022948297,0.880494413758468,0.485564595168912,1.81334146376997,0.069779171849386,0.0890392078183964
"AWJ11_05690",23.426512892246,-0.766796238240927,0.42372128491337,-1.809671275772,0.0703467795030125,0.0897239223806603
"AWJ11_11960",14.4480956505945,-0.924366245669706,0.510870274307591,-1.80939524602904,0.070389621204741,0.0897390148751191
"AWJ11_16365",17.1272656392164,0.786768089376789,0.434942883543393,1.80889978694937,0.0704665735293233,0.0897975622165838
"AWJ11_02855",47.1470078703116,0.502720854948936,0.278070673967707,1.80788879235542,0.0706238104414495,0.0899583219267406
"AWJ11_02910",1727.27959256325,-0.148281238801793,0.0821150162389924,-1.80577494340653,0.0709535008574232,0.0902987825335896
"AWJ11_12395",11.873291001953,0.930349058371505,0.515191513741121,1.80583148898488,0.070944665221956,0.0902987825335896
"AWJ11_08330",298.372179796864,0.223837413222989,0.12403605822778,1.80461566113246,0.0711348456403857,0.0904500190172566
"AWJ11_16445",30.4303978488192,0.618463092394913,0.342701128787051,1.80467188591963,0.0711260417229507,0.0904500190172566
"AWJ11_10090",4.19372119364956,-1.93515827577467,1.0727138127669,-1.80398373987861,0.0712338560278288,0.0905361349778377
"mnmA",1180.59599859748,0.183080629063616,0.101558891702252,1.80270408621993,0.0714347001122789,0.0907515461479083
"AWJ11_08195",299.364420653603,-0.648816742023843,0.360748011506462,-1.79853172111586,0.0720927864805731,0.0915473997695387
"AWJ11_09950",95.1254888305296,-0.377044885442265,0.209906245785792,-1.79625377049065,0.0724541665605018,0.091965946502672
"AWJ11_07770",7.99249444258954,-1.2765574688042,0.712341199628291,-1.79205901535714,0.0731235131113766,0.0927748561790109
"AWJ11_14520",948.519730396578,-0.183993947850752,0.102781176658072,-1.79015218382695,0.0734294496242886,0.0931221854569199
"AWJ11_01590",226.81698321763,0.262856024486401,0.146997471581803,1.7881669776893,0.0737490722615937,0.0934865594065055
"AWJ11_07900",135.448895775806,-0.334495459601962,0.187199120396781,-1.7868431159985,0.0739628485163004,0.0937164989519148
"AWJ11_00315",4.44532199664551,-1.87504982054708,1.05062384006157,-1.78470138316792,0.0743097664731183,0.0941148639707678
